INSTNM,UGDS_RICH,SAT_AVG,MD_EARN,,,,,,,,
Alabama A & M University,0.034,850,29900,,,,,,,,
University of Alabama at Birmingham,0.5863,1147,40200,,,,,,,,
University of Alabama in Huntsville,0.7024,1221,45600,,,,,,,,
Alabama State University,0.0165,844,26700,,,,,,,,
The University of Alabama,0.7807,1181,42700,,,,,,,,
Auburn University at Montgomery,0.5355,990,33500,,,,,,,,
Auburn University,0.842,1218,47100,,,,,,,,
Birmingham Southern College,0.7912,1167,45600,,,,,,,,
Faulkner University,0.3996,985,35900,,,,,,,,
Huntingdon College,0.631,992,36800,,,,,,,,
Jacksonville State University,0.6981,1062,35000,,,,,,,,
Judson College,0.7802,1031,27800,,,,,,,,
University of West Alabama,0.4511,930,36200,,,,,,,,
Marion Military Institute,0.6067,1061,45900,,,,,,,,
University of Mobile,0.6159,1025,35000,,,,,,,,
University of Montevallo,0.7164,1069,33100,,,,,,,,
University of North Alabama,0.7102,1027,36400,,,,,,,,
Oakwood University,0.0047,923,32200,,,,,,,,
Samford University,0.8143,1162,46300,,,,,,,,
University of South Alabama,0.5896,1045,37000,,,,,,,,
Spring Hill College,0.6852,1120,42400,,,,,,,,
Southeastern Bible College,0.5828,1045,31600,,,,,,,,
Stillman College,0.0581,831,27200,,,,,,,,
Troy University,0.5345,1046,35800,,,,,,,,
Tuskegee University,0.0044,955,35300,,,,,,,,
University of Alaska Fairbanks,0.4208,1058,37100,,,,,,,,
Alaska Pacific University,0.5512,985,39000,,,,,,,,
Arizona State University-Tempe,0.523,1143,45400,,,,,,,,
Prescott College,0.665,1039,32500,,,,,,,,
Arizona Christian University,0.5606,997,33600,,,,,,,,
University of Arkansas at Little Rock,0.5158,990,33500,,,,,,,,
Lyon College,0.7481,1120,40500,,,,,,,,
University of Arkansas,0.7722,1154,43100,,,,,,,,
University of Arkansas at Pine Bluff,0.0439,871,26700,,,,,,,,
Arkansas State University-Main Campus,0.7431,1088,31700,,,,,,,,
Baptist Health College-Little Rock,0.7285,1050,44800,,,,,,,,
University of Central Arkansas,0.6574,1068,36900,,,,,,,,
Central Baptist College,0.6667,968,33700,,,,,,,,
Harding University,0.8301,1135,38600,,,,,,,,
Henderson State University,0.6586,988,34900,,,,,,,,
Hendrix College,0.7782,1270,40600,,,,,,,,
John Brown University,0.7441,1209,46200,,,,,,,,